Pore size Diameter (nm),Log Differential Intrusion (mL/g),Thermal Conductivity (W/m·K),Pore size Diameter (nm),Log Differential Intrusion (mL/g),Thermal Conductivity (W/m·K),Pore size Diameter (nm),Log Differential Intrusion (mL/g),Thermal Conductivity (W/m·K)
,,,,,,,
T1,T1,T1-Conductivity,T2,T2,T2-Conductivity,T3,T3,T3-Conductivity
315754.45,0.32947,0.248,308482.05,0.47208,0.196,310975.725,0.37799,0.162
263600.6,0.32749,0.252,266591.425,0.63392,0.194,264499.7,0.45376,0.159
232455.5,0.332,0.257,231766.95,0.78055,0.191,236027.45,0.44673,0.156
204476.475,0.42518,0.261,205737.6,1.03074,0.188,203857.92,0.4574,0.153
185006.0875,0.5183,0.265,186479.1625,1.23196,0.185,186140.2125,0.52728,0.150
146043.84,0.66046,0.269,145530.025,1.25761,0.182,147643.8625,0.67683,0.147
121069.9875,0.76461,0.274,121514.825,1.2193,0.179,120624.64,0.67196,0.144
101222.72,0.74842,0.270,101489.3875,1.13598,0.176,101668.4438,0.69992,0.142
91402.56,0.7885,0.266,91058.36875,1.12495,0.173,91174.81875,0.84383,0.140
72580.475,0.76505,0.262,71918.60625,0.89818,0.171,72943.13125,0.95685,0.138
60667.1625,0.69181,0.258,60637.5125,0.65521,0.169,60824.225,0.80205,0.136
52014.42812,0.71799,0.254,52044.37187,0.58478,0.167,51978.05625,0.68729,0.134
45473.85313,0.73808,0.250,45442.46562,0.53713,0.165,45328.61875,0.68887,0.132
36343.55625,0.64464,0.246,36305.6,0.43926,0.163,36357.80625,0.58573,0.130
30215.6,0.47714,0.242,30242.79688,0.33021,0.161,30261.0125,0.4136,0.128
27914.49375,0.47161,0.238,27932.57813,0.33219,0.159,27858.90313,0.41059,0.126
25870.88438,0.49276,0.234,25927.03594,0.34016,0.157,25865.07188,0.42235,0.124
24195.80156,0.49794,0.232,24169.72813,0.33641,0.155,24207.58125,0.42552,0.123
21335.70156,0.44785,0.230,21327.64844,0.31318,0.153,21335.37969,0.39185,0.122
19098.43594,0.40148,0.228,19097.29531,0.29587,0.151,19064.92344,0.36273,0.121
17269.64844,0.37544,0.226,17279.24219,0.28399,0.149,17280.69844,0.34395,0.120
15432.89063,0.35237,0.224,15439.8375,0.27415,0.147,15441.76875,0.32921,0.119
13958.975,0.33279,0.222,13959.07813,0.27082,0.145,13928.78125,0.31401,0.118
12512.22422,0.31728,0.220,12480.06719,0.27199,0.143,12500.20781,0.298,0.117
11310.20781,0.30438,0.218,11330.40391,0.27511,0.141,11320.57969,0.28895,0.116
10054.30938,0.29178,0.216,10056.0875,0.27934,0.139,10060.88516,0.28487,0.115
9050.57813,0.28236,0.214,9046.61172,0.28207,0.137,9054.18984,0.27798,0.114
8046.99687,0.27385,0.212,8046.50547,0.28962,0.135,8048.38047,0.27158,0.113
7241.59375,0.26858,0.210,7243.72656,0.30116,0.133,7241.625,0.27037,0.112
6584.28203,0.24531,0.208,6587.06875,0.30823,0.131,6588.62734,0.24568,0.111
6036.96055,0.21049,0.206,6038.7793,0.27681,0.129,6033.01133,0.20661,0.109
5643.08164,0.18129,0.204,6049.08633,0.27752,0.127,5625.46055,0.17691,0.107
