Tested element,Instrument direct reading concentration Co (mg/L),Dilution factor,Cenage solution/original sample solution concentration C1 (mg/L),Cenage solution/original sample solution concentration C1 (mg/L),Cenage solution/original sample solution concentration C1 (mg/L),Dilution factor,Cenage solution/original sample solution concentration C1 (mg/L)
B,0.54,1,0.54,B,0.47,1,0.51
Ba,0.68,1,0.68,Ba,0.1,1,0.15
Ca,5.47,10,54.7,Ca,9.22,10,89.7
Eu,0.15,1,0.15,Eu,0.18,1,0.11
K,7.88,1,7.88,Fe,0.01,1,0.19
Lu,0,1,0,K,1.47,1,0.02
Mg,2.83,10,28.3,Li,0.03,1,16.2
Mn,0.04,1,0.04,Mg,4.11,10,0.03
Na,6.76,10,67.6,Mn,0.08,1,32
Sr,5.4,1,5.4,Na,11.09,10,92
Zn,1.16,1,1.16,Si,1.68,1,24.4
,,,,Sr,2.84,1,3.12
,FTW,FTW,FTW,TSW,TSW,TSW,TSW
